dataset,budget_fraction,method,mean_worst_value,mean_value,blocks,feasible_rate,max_solver_gap,ours_worst_value,gain_of_ours_pct
divvy,0.01,CalibratedUncertainty2025,5.709677419354839,7.029032258064516,62,1.0,,5.774193548387097,1.1299435028248577
divvy,0.01,CertifiedSwitch,5.32258064516129,6.566129032258065,62,1.0,,5.774193548387097,8.484848484848495
divvy,0.01,ExpectedActionValue,0.9225806451612903,1.1774193548387097,62,1.0,,5.774193548387097,525.8741258741259
divvy,0.01,GroupAware2025,5.329032258064517,6.57258064516129,62,1.0,,5.774193548387097,8.353510895883762
divvy,0.01,MappedPTO2026,5.393548387096775,6.641935483870968,62,1.0,,5.774193548387097,7.057416267942569
divvy,0.01,NetworkPropagation2024,5.129032258064516,6.316129032258065,62,1.0,,5.774193548387097,12.578616352201264
divvy,0.01,PointwiseWorstAction,0.8838709677419355,1.1483870967741936,62,1.0,,5.774193548387097,553.2846715328467
divvy,0.01,RiskFirst,5.32258064516129,6.566129032258065,62,1.0,,5.774193548387097,8.484848484848495
divvy,0.01,RobustImprovement2025,5.167741935483871,6.340322580645162,62,1.0,,5.774193548387097,11.73533083645443
divvy,0.01,ScenarioCVaR,0.8838709677419355,1.1483870967741936,62,1.0,,5.774193548387097,553.2846715328467
divvy,0.01,StructuralRobust,5.774193548387097,7.048387096774194,62,1.0,0.0,5.774193548387097,0.0
divvy,0.01,TemporalContext2024,5.264516129032258,6.45,62,1.0,,5.774193548387097,9.68137254901961
divvy,0.03,CalibratedUncertainty2025,12.780645161290325,15.556451612903228,62,1.0,,13.200000000000001,3.2811711256940836
divvy,0.03,CertifiedSwitch,12.800000000000002,15.533870967741938,62,1.0,,13.200000000000001,3.1249999999999885
divvy,0.03,ExpectedActionValue,2.4322580645161294,2.990322580645161,62,1.0,,13.200000000000001,442.70557029177724
divvy,0.03,GroupAware2025,12.677419354838712,15.472580645161292,62,1.0,,13.200000000000001,4.122137404580144
divvy,0.03,MappedPTO2026,13.045161290322582,15.862903225806454,62,1.0,,13.200000000000001,1.1869436201780377
divvy,0.03,NetworkPropagation2024,11.580645161290324,14.183870967741937,62,1.0,,13.200000000000001,13.983286908077991
divvy,0.03,PointwiseWorstAction,2.3870967741935485,2.9596774193548385,62,1.0,,13.200000000000001,452.972972972973
divvy,0.03,RiskFirst,12.800000000000002,15.533870967741938,62,1.0,,13.200000000000001,3.1249999999999885
divvy,0.03,RobustImprovement2025,12.858064516129035,15.672580645161293,62,1.0,,13.200000000000001,2.659307576517797
divvy,0.03,ScenarioCVaR,2.3870967741935485,2.9596774193548385,62,1.0,,13.200000000000001,452.972972972973
divvy,0.03,StructuralRobust,13.200000000000001,16.240322580645163,62,1.0,0.0,13.200000000000001,0.0
divvy,0.03,TemporalContext2024,12.425806451612905,15.125806451612904,62,1.0,,13.200000000000001,6.23052959501557
divvy,0.05,CalibratedUncertainty2025,18.26451612903226,22.190322580645166,62,1.0,,19.348387096774196,5.934298834334167
divvy,0.05,CertifiedSwitch,18.69677419354839,22.73709677419355,62,1.0,,19.348387096774196,3.485162180814358
divvy,0.05,ExpectedActionValue,3.7483870967741937,4.614516129032259,62,1.0,,19.348387096774196,416.17900172117044
divvy,0.05,GroupAware2025,18.916129032258066,23.0,62,1.0,,19.348387096774196,2.285129604365627
divvy,0.05,MappedPTO2026,18.593548387096778,22.462903225806453,62,1.0,,19.348387096774196,4.0596807772380235
divvy,0.05,NetworkPropagation2024,16.87741935483871,20.43548387096774,62,1.0,,19.348387096774196,14.640672782874624
divvy,0.05,PointwiseWorstAction,3.645161290322581,4.509677419354839,62,1.0,,19.348387096774196,430.7964601769912
divvy,0.05,RiskFirst,18.69677419354839,22.73709677419355,62,1.0,,19.348387096774196,3.485162180814358
divvy,0.05,RobustImprovement2025,19.21935483870968,23.33709677419355,62,1.0,,19.348387096774196,0.6713662302786163
divvy,0.05,ScenarioCVaR,3.645161290322581,4.509677419354839,62,1.0,,19.348387096774196,430.7964601769912
divvy,0.05,StructuralRobust,19.348387096774196,23.564516129032263,62,1.0,0.0,19.348387096774196,0.0
divvy,0.05,TemporalContext2024,17.86451612903226,21.687096774193552,62,1.0,,19.348387096774196,8.306247742867463
divvy,0.1,CalibratedUncertainty2025,28.722580645161294,34.208064516129035,62,1.0,,29.690322580645166,3.369272237196768
divvy,0.1,CertifiedSwitch,27.909677419354843,33.66129032258065,62,1.0,,29.690322580645166,6.380027739251041
divvy,0.1,ExpectedActionValue,7.187096774193549,8.869354838709679,62,1.0,,29.690322580645166,313.10592459605033
divvy,0.1,GroupAware2025,25.916129032258066,31.414516129032258,62,1.0,,29.690322580645166,14.563106796116516
divvy,0.1,MappedPTO2026,28.14193548387097,34.0,62,1.0,,29.690322580645166,5.5020632737276545
divvy,0.1,NetworkPropagation2024,25.670967741935485,31.15806451612903,62,1.0,,29.690322580645166,15.657200301583327
divvy,0.1,PointwiseWorstAction,7.283870967741936,9.006451612903227,62,1.0,,29.690322580645166,307.6173604960142
divvy,0.1,RiskFirst,27.909677419354843,33.66129032258065,62,1.0,,29.690322580645166,6.380027739251041
divvy,0.1,RobustImprovement2025,29.380645161290328,35.604838709677416,62,1.0,,29.690322580645166,1.0540184453227897
divvy,0.1,ScenarioCVaR,7.283870967741936,9.006451612903227,62,1.0,,29.690322580645166,307.6173604960142
divvy,0.1,StructuralRobust,29.690322580645166,35.78709677419355,62,1.0,0.0,29.690322580645166,0.0
divvy,0.1,TemporalContext2024,26.477419354838712,32.061290322580646,62,1.0,,29.690322580645166,12.134502923976614
divvy,0.2,CalibratedUncertainty2025,34.74193548387097,41.45,62,1.0,,39.896774193548396,14.837511606313859
divvy,0.2,CertifiedSwitch,37.800000000000004,45.5,62,1.0,,39.896774193548396,5.547021676053945
divvy,0.2,ExpectedActionValue,13.425806451612905,16.246774193548386,62,1.0,,39.896774193548396,197.16482460355599
divvy,0.2,GroupAware2025,29.670967741935485,35.67580645161291,62,1.0,,39.896774193548396,34.46401391606874
divvy,0.2,MappedPTO2026,38.54838709677419,46.32258064516129,62,1.0,,39.896774193548396,3.497907949790821
divvy,0.2,NetworkPropagation2024,32.99354838709678,39.733870967741936,62,1.0,,39.896774193548396,20.92295658975362
divvy,0.2,PointwiseWorstAction,13.74193548387097,16.548387096774192,62,1.0,,39.896774193548396,190.32863849765263
divvy,0.2,RiskFirst,37.800000000000004,45.5,62,1.0,,39.896774193548396,5.547021676053945
divvy,0.2,RobustImprovement2025,33.62580645161291,40.501612903225805,62,1.0,,39.896774193548396,18.649270913277057
divvy,0.2,ScenarioCVaR,13.74193548387097,16.548387096774192,62,1.0,,39.896774193548396,190.32863849765263
divvy,0.2,StructuralRobust,39.896774193548396,47.82258064516129,62,1.0,8.838633548972006e-07,39.896774193548396,0.0
divvy,0.2,TemporalContext2024,37.65161290322581,45.24516129032258,62,1.0,,39.896774193548396,5.962988348183698
