dataset,budget_fraction,coverage,blocks
divvy,0.01,0.9354838709677419,62
divvy,0.03,0.9516129032258065,62
divvy,0.05,0.9354838709677419,62
divvy,0.1,0.9516129032258065,62
divvy,0.2,0.9354838709677419,62
