dataset,budget_fraction,mean_paired_margin,paired_dominance_rate,mean_changed_actions,median_discrepancy_tolerance,test_blocks,one_sided_95_lower_limit,use_structural_plan,issued_test_mean_paired_margin
bts,0.01,0.5019865592393615,0.639344262295082,4.786885245901639,0.6607196703850065,61,-2.0578081893315567,0.0,0.0
bts,0.03,-0.7229199970512858,0.47540983606557374,10.131147540983607,0.4978659735620653,61,-0.23320372001186002,0.0,-0.0
bts,0.05,4.31727018548382,0.4918032786885246,17.868852459016395,0.3355380161558754,61,-2.0035912071881534,0.0,0.0
bts,0.1,6.244830771606109,0.5245901639344263,31.442622950819672,0.2341469062925448,61,-8.485016716807065,0.0,0.0
bts,0.2,23.6595394688346,0.7213114754098361,58.65573770491803,0.116779415990142,61,4.312651302288741,1.0,23.659539468834602
divvy,0.01,0.42580645161290326,0.7096774193548387,4.161290322580645,0.0285759066867267,62,-0.2780327868852458,0.0,0.0
divvy,0.03,0.5883870967741932,0.6290322580645161,10.67741935483871,0.0324090156333292,62,0.01704918032786812,1.0,0.5883870967741934
divvy,0.05,0.7070967741935471,0.6290322580645161,18.35483870967742,0.0206813538103224,62,0.1022950819672112,1.0,0.7070967741935469
divvy,0.1,1.9638709677419337,0.6935483870967742,41.41935483870968,0.0085932479070417,62,-1.6603934426229512,0.0,0.0
divvy,0.2,2.1638709677419325,0.6451612903225806,87.2258064516129,0.0032255537324444,62,-0.22039344262295116,0.0,0.0
road,0.01,0.26322798939756936,0.7555555555555555,1.6,0.0663587783671868,45,0.26031906290439955,1.0,0.26322798939756936
road,0.03,-0.21824352377542802,0.5333333333333333,4.177777777777778,0.0203761180138388,45,-0.24465527579955915,0.0,-0.0
road,0.05,0.07916138877141941,0.6444444444444445,6.133333333333334,0.0195736182957112,45,0.08823804122889863,1.0,0.07916138877141941
road,0.1,0.060134195031930404,0.5111111111111111,11.911111111111111,0.0172858453758404,45,-0.26324817247283944,0.0,0.0
road,0.2,0.22522045514376288,0.6444444444444445,14.666666666666666,0.0106271233411838,45,0.027594042472550304,1.0,0.22522045514376288
