dataset,budget_fraction,method,mean_worst_value,mean_value,blocks,feasible_rate,max_solver_gap,ours_worst_value,gain_of_ours_pct
bts,0.01,CalibratedUncertainty2025,13.234913378405192,19.746894968963993,61,1.0,,13.733763550249186,3.7691986156701662
bts,0.01,ExpectedActionValue,10.998954420915199,16.347371121110847,61,1.0,,13.733763550249186,24.86426458985571
bts,0.01,GroupAware2025,13.162922603163121,19.532018287227334,61,1.0,,13.733763550249186,4.336734054402849
bts,0.01,MappedPTO2026,12.280189073185149,18.214896887493772,61,1.0,,13.733763550249186,11.836743460555041
bts,0.01,NetworkPropagation2024,12.611851040802868,18.757090210672686,61,1.0,,13.733763550249186,8.89570060585569
bts,0.01,PointwiseWorstAction,11.599120606432237,17.26349604121653,61,1.0,,13.733763550249186,18.4034895079304
bts,0.01,RiskFirst,12.902705152406641,19.146278317989164,61,1.0,,13.733763550249186,6.440962480550324
bts,0.01,RobustImprovement2025,13.550620825087533,19.933161493506876,61,1.0,,13.733763550249186,1.351544903555889
bts,0.01,ScenarioCVaR,11.599120606432237,17.26349604121653,61,1.0,,13.733763550249186,18.4034895079304
bts,0.01,StructuralRobust,13.733763550249186,20.270584568540126,61,1.0,0.0,13.733763550249186,0.0
bts,0.01,TemporalContext2024,13.44319029587106,19.967128984005466,61,1.0,,13.733763550249186,2.1614903009099895
bts,0.03,CalibratedUncertainty2025,39.52219625775293,58.944953519522485,61,1.0,,42.760217943468064,8.192919403055544
bts,0.03,ExpectedActionValue,34.59680783526203,51.46045085299145,61,1.0,,42.760217943468064,23.595847764560705
bts,0.03,GroupAware2025,42.32402882666761,62.80881926380256,61,1.0,,42.760217943468064,1.0305945083508241
bts,0.03,MappedPTO2026,42.89915128700423,63.73744591945844,61,1.0,,42.760217943468064,-0.32386035473446423
bts,0.03,NetworkPropagation2024,40.399308674472344,60.03259113706779,61,1.0,,42.760217943468064,5.843934825764825
bts,0.03,PointwiseWorstAction,33.19419868982945,49.37985951369219,61,1.0,,42.760217943468064,28.8183466726359
bts,0.03,RiskFirst,42.07790927811272,62.428750650579666,61,1.0,,42.760217943468064,1.621536518950226
bts,0.03,RobustImprovement2025,45.17786271144958,66.3861212035957,61,1.0,,42.760217943468064,-5.351392524748193
bts,0.03,ScenarioCVaR,33.19419868982945,49.37985951369219,61,1.0,,42.760217943468064,28.8183466726359
bts,0.03,StructuralRobust,42.760217943468064,63.00268505447041,61,1.0,0.0,42.760217943468064,0.0
bts,0.03,TemporalContext2024,38.987478741466084,57.875800488880856,61,1.0,,42.760217943468064,9.676797073798442
bts,0.05,CalibratedUncertainty2025,69.07741042921836,102.84824167899122,61,1.0,,73.33562827716226,6.164414417803299
bts,0.05,ExpectedActionValue,55.315766691982475,82.26054233492465,61,1.0,,73.33562827716226,32.576356910174766
bts,0.05,GroupAware2025,69.51435113648469,103.2084536722158,61,1.0,,73.33562827716226,5.497105386447266
bts,0.05,MappedPTO2026,72.10123548954572,106.99714884921246,61,1.0,,73.33562827716226,1.7120272339792604
bts,0.05,NetworkPropagation2024,68.80917396934053,102.22333339351692,61,1.0,,73.33562827716226,6.578271539545854
bts,0.05,PointwiseWorstAction,54.79184950491891,81.47976356662474,61,1.0,,73.33562827716226,33.84404603932669
