dataset,fold_id,partition,block_id,budget_fraction,method,selected_n,predicted_worst_value,realized_worst_value,realized_mean_value,realized_scenario_spread,solver_gap,feasible
bts,1,set_cal,2024-04-01,0.1,NetworkPropagation2024,97.0,61.983944645115564,96.89922235023042,143.8392501920123,133.04862519201228,,1.0
bts,1,set_cal,2024-04-01,0.1,CalibratedUncertainty2025,97.0,71.98516136021179,78.82378227091048,116.38396886091117,105.77743477000207,,1.0
bts,1,set_cal,2024-04-01,0.1,MappedPTO2026,97.0,76.97120848123572,89.93098146877145,132.4589722031572,121.60272220315716,,1.0
bts,1,set_cal,2024-04-01,0.1,GroupAware2025,97.0,62.04361485030779,93.7742223502304,139.22675019201228,128.9986251920123,,1.0
bts,1,set_cal,2024-04-01,0.1,RobustImprovement2025,97.0,65.93977524559583,86.21123533724341,127.58681512707723,115.14278103616812,,1.0
bts,1,set_cal,2024-04-01,0.2,StructuralRobust,194.0,277.9159731577999,185.26023089418035,270.0847417172027,226.2802070366935,0.0,1.0
bts,1,set_cal,2024-04-01,0.2,ExpectedActionValue,194.0,359.0241553219695,134.9327328338864,199.52623006388774,184.92658616182422,,1.0
bts,1,set_cal,2024-04-01,0.2,PointwiseWorstAction,194.0,358.9713016249273,138.03273283388637,204.17623006388772,189.57658616182425,,1.0
bts,1,set_cal,2024-04-01,0.2,ScenarioCVaR,194.0,358.9713016249273,138.03273283388637,204.17623006388772,189.57658616182425,,1.0
bts,1,set_cal,2024-04-01,0.2,RiskFirst,194.0,145.41472770932097,180.16974051253294,266.9750485088222,248.40958155899335,,1.0
bts,1,set_cal,2024-04-01,0.2,TemporalContext2024,194.0,146.34245146513484,168.62268496242189,248.84346218964362,228.33922278472488,,1.0
bts,1,set_cal,2024-04-01,0.2,NetworkPropagation2024,194.0,144.609640224796,176.32336954479103,260.6105846498019,237.5833121444174,,1.0
bts,1,set_cal,2024-04-01,0.2,CalibratedUncertainty2025,194.0,148.6162065813654,173.70240760032334,257.64313873908844,239.09584377861415,,1.0
bts,1,set_cal,2024-04-01,0.2,MappedPTO2026,194.0,151.54534516095785,171.67192529391357,253.19741527947377,231.04387031899947,,1.0
